Date,Stock_1,Prob_1,Weight_1,Stock_2,Prob_2,Weight_2,Turnover,Gross_Return,Net_Return
2024-03-01,V,0.5662734037559494,0.5,JPM,0.5618004485243203,0.5,2.0,0.002397382789000757,0.00039738278900075703
2024-03-08,TSLA,0.5724745207915507,0.5,V,0.5704818149679544,0.5,1.0,-0.028206964978392146,-0.029206964978392147
2024-03-15,JNJ,0.5760572939602248,0.5,MSFT,0.5611929961317421,0.5,2.0,0.005467923057756174,0.0034679230577561743
2024-03-22,TSLA,0.5814888497465492,0.5,V,0.5761313039618503,0.5,2.0,0.007138896353727275,0.005138896353727275
2024-03-29,JNJ,0.6118439535866025,0.5,MSFT,0.577957390918372,0.5,2.0,-0.012628035974106111,-0.014628035974106111
2024-04-05,MSFT,0.601812165609904,0.5,BRK-B,0.5898886278020825,0.5,1.0,-0.02259959544349127,-0.023599595443491272
2024-04-12,GOOGL,0.605584348706885,0.5,JNJ,0.5958780683634204,0.5,2.0,-0.010216927865833947,-0.012216927865833947
2024-04-19,META,0.6273857478224518,0.5,GOOGL,0.6153898764762528,0.5,1.0,0.018686624533234497,0.017686624533234496
2024-04-26,TSLA,0.6467885349874534,0.5,AAPL,0.6130270996376712,0.5,2.0,0.07990972411272645,0.07790972411272645
2024-05-03,TSLA,0.6029898842492778,0.5,GOOGL,0.5931639398590172,0.5,1.0,-0.0308857923862092,-0.0318857923862092
2024-05-10,JPM,0.6043776575544856,0.5,META,0.5984932073274333,0.5,2.0,0.01063865649123491,0.00863865649123491
2024-05-17,TSLA,0.6177025803247171,0.5,MSFT,0.5891936962126769,0.5,2.0,0.016854524512693203,0.014854524512693203
2024-05-24,V,0.5840502492903747,0.5,AAPL,0.582644148699351,0.5,2.0,0.002276576787269724,0.00027657678726972397
2024-05-31,MSFT,0.7948885857830408,0.5,V,0.6436877609107365,0.5,1.0,0.021898991614156538,0.020898991614156537
2024-06-07,MSFT,0.6635137125668519,0.5,V,0.6042330842770658,0.5,0.0,0.007711373441590508,0.007711373441590508
2024-06-14,V,0.627571976961917,0.5,BRK-B,0.6178014694911348,0.5,1.0,0.013454094852208276,0.012454094852208275
2024-06-21,V,0.6402150642774755,0.5,BRK-B,0.6282870692280944,0.5,0.0,-0.026605553331789433,-0.026605553331789433
2024-06-28,AMZN,0.5904539482115783,0.5,MSFT,0.5852106213390212,0.5,2.0,0.04052072336442436,0.03852072336442436
2024-07-05,BRK-B,0.5882859319283686,0.5,GOOGL,0.5826416280540853,0.5,2.0,0.001629917131378611,-0.0003700828686213891
2024-07-12,BRK-B,0.6196065824910637,0.5,AAPL,0.6132528177425272,0.5,1.0,-0.001696129171240901,-0.002696129171240901
2024-07-19,BRK-B,0.7379512505256136,0.5,TSLA,0.6021994305819272,0.5,1.0,-0.03688068487540708,-0.03788068487540708
2024-07-26,BRK-B,0.6481494514228943,0.5,AAPL,0.5987830867751035,0.5,1.0,-0.0062660648377793615,-0.0072660648377793615
2024-08-02,BRK-B,0.6464024852291272,0.5,JPM,0.607921050101885,0.5,1.0,0.02058547937320432,0.019585479373204318
2024-08-09,V,0.5961071841701702,0.5,TSLA,0.5882967486562223,0.5,2.0,0.05496746158159982,0.05296746158159982
2024-08-16,V,0.6201649193999146,0.5,JNJ,0.6026340406968318,0.5,1.0,0.014981353335883352,0.01398135333588335
2024-08-23,META,0.6332900204715088,0.5,V,0.6157423873616594,0.5,1.0,0.010360038823990614,0.009360038823990613
2024-08-30,MSFT,0.5818945500823245,0.5,TSLA,0.5788125846358523,0.5,2.0,-0.026400113032244488,-0.02840011303224449
2024-09-06,V,0.6052253979279719,0.5,TSLA,0.5919968807140666,0.5,1.0,0.06069225592529526,0.05969225592529526
2024-09-13,JNJ,0.5759550609769314,0.5,AAPL,0.5742361440839261,0.5,2.0,0.008700707038794053,0.006700707038794053
2024-09-20,META,0.5887252608895288,0.5,V,0.5879413523854702,0.5,2.0,-0.011502498889168156,-0.013502498889168156
2024-09-27,BRK-B,0.5827475156964749,0.5,AMZN,0.572778486821346,0.5,2.0,0.001034739008643537,-0.000965260991356463
2024-10-04,TSLA,0.6135291299749399,0.5,AAPL,0.589949698671818,0.5,2.0,-0.06288584541489378,-0.06488584541489378
2024-10-11,TSLA,0.6136270019397085,0.5,BRK-B,0.5915636396529718,0.5,1.0,0.01164431976664071,0.010644319766640709
2024-10-18,META,0.6011284278827362,0.5,TSLA,0.5962959242264174,0.5,1.0,0.10706212135468929,0.10606212135468929
2024-10-25,JPM,0.6128613380344397,0.5,TSLA,0.5774755144516371,0.5,1.0,-0.03612162116455925,-0.03712162116455925
2024-11-01,TSLA,0.6222933909045816,0.5,AAPL,0.5835558893217916,0.5,1.0,0.154716374875997,0.153716374875997
2024-11-08,V,0.6577495690470108,0.5,JPM,0.5842970061423822,0.5,2.0,0.021405957842372314,0.019405957842372312
2024-11-15,V,0.6522945896782902,0.5,AAPL,0.6438862156100444,0.5,1.0,0.011274270466079761,0.01027427046607976
2024-11-22,V,0.6335545374319345,0.5,AAPL,0.5885835094014559,0.5,0.0,0.02455136734877461,0.02455136734877461
2024-11-29,AAPL,0.7268762429500571,0.5,MSFT,0.6490551365058764,0.5,1.0,0.035353177956808146,0.034353177956808145
2024-12-06,MSFT,0.6303327405145298,0.5,AMZN,0.5987720679240875,0.5,1.0,0.005117640623099051,0.004117640623099051
2024-12-13,AMZN,0.5829545039695658,0.5,GOOGL,0.5725050869474083,0.5,1.0,-0.001395268806507477,-0.002395268806507477
2024-12-20,GOOGL,0.6036182474094085,0.5,AMZN,0.5993866668675636,0.5,0.0,0.0009255224744917356,0.0009255224744917356
2024-12-27,V,0.5912506043398753,0.5,AMZN,0.585649581675637,0.5,1.0,-0.004900754250133865,-0.005900754250133865
2025-01-03,BRK-B,0.7329223304974136,0.5,GOOGL,0.6159417758910983,0.5,2.0,-0.011364313715761298,-0.013364313715761298
2025-01-10,BRK-B,0.6308963739006066,0.5,META,0.5856223958105058,0.5,1.0,0.026057285149661935,0.025057285149661934
2025-01-17,AMZN,0.612881170439934,0.5,META,0.6011630735363819,0.5,1.0,0.04804803640103006,0.04704803640103006
